bytes_data,strongest_signal,first_time,last_time,time,vendor,valid_vendor,valid_time,valid_rssi,valid_bytes,outcome
0,-76,1618007142,1618007142,0,FN-LINK TECHNOLOGY LIMITED,0,0,1,0,0
0,-63,1618007146,1618007146,0,"AMPAK Technology, Inc.",0,0,1,0,0
0,-76,1618007147,1618007147,0,,0,0,1,0,0
0,-75,1618007150,1618007150,0,"ARRIS Group, Inc.",0,0,1,0,0
0,-76,1618007154,1618007154,0,,0,0,1,0,0
0,-64,1618007162,1618007162,0,,0,0,1,0,0
0,-62,1618007173,1618007173,0,,0,0,1,0,0
0,-77,1618007173,1618007173,0,Technicolor CH USA Inc.,0,0,1,0,0
0,-75,1618007185,1618007185,0,,0,0,1,0,0
0,-72,1618007200,1618007201,1,AzureWave Technology Inc.,0,0,1,0,0
0,-63,1618007212,1618007212,0,"ARRIS Group, Inc.",0,0,1,0,0
0,-65,1618007216,1618007216,0,,0,0,1,0,0
70,-72,1618007169,1618007247,78,,0,0,1,1,0
0,-79,1618007251,1618007251,0,,0,0,1,0,0
147,-75,1618007157,1618007270,113,Sercomm Corporation.,0,1,1,1,1
0,-79,1618007263,1618007263,0,Arcadyan Corporation,0,0,1,0,0
0,-77,1618007267,1618007267,0,,0,0,1,0,0
0,-78,1618007267,1618007267,0,,0,0,1,0,0
0,-70,1618007274,1618007274,0,Technicolor CH USA Inc.,0,0,1,0,0
0,-76,1618007275,1618007275,0,ecobee inc,0,0,1,0,0
0,-74,1618007181,1618007286,105,HTC Corporation,0,1,1,0,0
0,-66,1618007189,1618007309,120,Liteon Technology Corporation,0,1,1,0,0
0,-69,1618007290,1618007290,0,"Hon Hai Precision Ind. Co.,Ltd.",0,0,1,0,0
0,-83,1618007293,1618007293,0,Intel Corporate,1,0,1,0,0
0,-75,1618007298,1618007298,0,Intel Corporate,1,0,1,0,0
0,-72,1618007298,1618007298,0,,0,0,1,0,0
0,-74,1618007301,1618007301,0,Technicolor CH USA Inc.,0,0,1,0,0
0,-75,1618007301,1618007301,0,Technicolor CH USA Inc.,0,0,1,0,0
52,-61,1618007313,1618007313,0,Sercomm Corporation.,0,0,1,1,0
1291,-67,1618007162,1618007329,167,,0,1,1,1,1
0,-66,1618007204,1618007325,121,"Google, Inc.",1,1,1,0,1
0,-64,1618007224,1618007344,120,Technicolor CH USA Inc.,0,1,1,0,0
0,-50,1618007224,1618007344,120,Intel Corporate,1,1,1,0,1
0,-75,1618007332,1618007332,0,Technicolor CH USA Inc.,0,0,1,0,0
0,-65,1618007340,1618007340,0,,0,0,1,0,0
